City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
536,Sassandra,CI,75.69,overcast clouds,4.95,-6.0833,la terrasse
538,Pilkhuwa,IN,83.55,clear sky,28.7167,77.65,Texi sarvice pintu
539,Bandarbeyla,SO,81.23,broken clouds,9.4942,50.8122,JABIR HOTEL
541,Polewali,ID,76.44,overcast clouds,-3.4324,119.3435,Lilianto Hotel
544,Punta Cardon,VE,81.84,overcast clouds,11.6581,-70.215,Bambuda hotel
547,Det Udom,TH,76.46,moderate rain,14.906,105.0784,Chatsuda Resort
549,Kalmunai,LK,78.37,broken clouds,7.4167,81.8167,VS Villa
553,Nathdwara,IN,80.4,clear sky,24.9333,73.8167,Hotel Sudarshan
558,Anloga,GH,82.85,light rain,5.7947,0.8973,Pin Drop Hotel
559,Malakal,SS,87.89,broken clouds,9.5334,31.6605,Nile Palace Hotel
560,Ontario,US,87.87,clear sky,34.0633,-117.6509,Capri Motel
561,Khambhat,IN,81.93,clear sky,22.3,72.6167,Anand
564,The Valley,AI,79.11,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
565,Portobelo,PA,83.95,overcast clouds,9.55,-79.65,Scuba Portobelo
567,Meadow Lake,US,78.94,clear sky,34.8014,-106.5436,TumbleWeed RV Park
569,Ahuimanu,US,79.79,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
571,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
575,Cravo Norte,CO,81.05,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
576,Ridgecrest,US,83.64,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
583,Port Hueneme,US,79.05,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
595,Oistins,BB,78.39,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
596,Sola,VU,81.86,broken clouds,-13.8833,167.55,Leumerus Bungalows
601,Harij,IN,79.32,clear sky,23.7,71.9,Anand guest House
604,Luganville,VU,83.14,broken clouds,-15.5333,167.1667,The Espiritu Hotel
608,Maragogi,BR,78.49,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
609,Hays,US,88.0,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
617,Ratnapura,LK,75.7,overcast clouds,6.6828,80.3992,Hotel Helenium
619,Dingle,PH,75.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
621,Gizo,SB,82.69,light rain,-8.103,156.8419,Imagination Island
626,Pandaan,ID,78.3,light rain,-7.6527,112.6875,Finna Golf & Country Club Resort
627,Oriximina,BR,77.58,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
631,Kununurra,AU,75.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
637,Sorong,ID,81.97,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
638,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
640,Makakilo City,US,78.62,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
641,Ceres,US,76.8,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
644,Bairiki,KI,80.51,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
651,Pakokku,MM,84.78,clear sky,21.3333,95.1,Royal Palace Motel
654,Moerai,PF,79.21,clear sky,-22.4333,-151.3333,Le Manotel
660,Porto Walter,BR,81.3,broken clouds,-8.2686,-72.7439,Secretaria de saúde
669,Catalina,US,89.74,clear sky,32.5056,-110.9211,Miraval Arizona Resort & Spa
670,Buchanan,LR,79.14,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
676,Kerema,PG,80.2,broken clouds,-7.9631,145.7785,Frena Lodge
684,Dhanera,IN,76.55,clear sky,24.5167,72.0167,Paresh joja
685,Necocli,CO,81.55,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
