City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Manoel Urbano,BR,2022-04-14 21:35:58,-8.8389,-69.2597,74.12,98,100,3.13
98,Komsomolskiy,UZ,2022-04-14 21:35:58,40.4272,71.7189,61.52,51,0,6.91
99,Cherskiy,RU,2022-04-14 21:35:59,68.75,161.3,17.51,90,100,1.79
100,Iberia,US,2022-04-14 21:35:59,29.9502,-91.7507,81.05,29,0,10.36
101,Madang,PG,2022-04-14 21:35:59,-5.2246,145.7966,80.42,81,78,2.62
102,Tuatapere,NZ,2022-04-14 21:36:00,-46.1333,167.6833,55.62,68,1,4.38
103,Tuktoyaktuk,CA,2022-04-14 21:31:52,69.4541,-133.0374,-2.2,78,20,10.36
104,Lompoc,US,2022-04-14 21:32:29,34.6391,-120.4579,74.57,63,0,24.0
105,Kodiak,US,2022-04-14 21:33:17,57.79,-152.4072,45.91,49,0,14.97
106,Norman Wells,CA,2022-04-14 21:31:35,65.282,-126.8329,15.84,48,20,16.11
107,Talcahuano,CL,2022-04-14 21:36:00,-36.7167,-73.1167,55.08,88,75,13.8
108,Tabou,CI,2022-04-14 21:36:01,4.423,-7.3528,81.16,84,90,10.09
109,Lebu,CL,2022-04-14 21:36:01,-37.6167,-73.65,55.08,78,1,6.91
110,Trelew,AR,2022-04-14 21:34:45,-43.249,-65.3051,74.8,16,6,13.71
111,Lorengau,PG,2022-04-14 21:36:02,-2.0226,147.2712,82.71,78,41,7.58
112,Pangnirtung,CA,2022-04-14 21:36:02,66.1451,-65.7125,1.4,71,20,4.61
113,Kudat,MY,2022-04-14 21:36:03,6.8837,116.8477,73.33,100,20,0.0
114,Prince Rupert,CA,2022-04-14 21:33:32,54.3161,-130.3201,46.49,31,0,13.8
115,Severo-Kurilsk,RU,2022-04-14 21:36:03,50.6789,156.125,30.02,75,85,22.1
116,Caravelas,BR,2022-04-14 21:36:03,-17.7125,-39.2481,80.11,83,6,9.4
117,Boguchany,RU,2022-04-14 21:36:04,58.3814,97.4531,29.8,94,100,2.93
118,Abha,SA,2022-04-14 21:36:04,18.2164,42.5053,64.22,52,0,0.0
119,Oudtshoorn,ZA,2022-04-14 21:36:05,-33.5907,22.2014,53.96,86,100,7.2
120,Port Huron,US,2022-04-14 21:36:05,42.9709,-82.4249,57.24,31,75,26.46
121,Fortuna,US,2022-04-14 21:31:09,40.5982,-124.1573,53.85,70,100,10.36
122,Jiwani,PK,2022-04-14 21:36:06,25.05,61.7417,79.77,79,1,4.65
123,Nanortalik,GL,2022-04-14 21:36:06,60.1432,-45.2371,32.94,92,36,3.67
124,Xining,CN,2022-04-14 21:36:07,36.6167,101.7667,37.04,85,100,1.9
125,Sundargarh,IN,2022-04-14 21:36:07,22.1167,84.0333,82.13,36,95,2.33
126,Nikolskoye,RU,2022-04-14 21:35:36,59.7035,30.7861,38.88,99,100,2.57
127,Wewak,PG,2022-04-14 21:36:07,-3.5534,143.6268,82.26,79,99,6.31
128,Barrow,US,2022-04-14 21:34:20,71.2906,-156.7887,-0.38,78,0,16.11
129,Alugan,PH,2022-04-14 21:36:08,12.2188,125.4808,75.88,91,87,4.83
130,Sarangani,PH,2022-04-14 21:36:08,5.4033,125.4636,81.54,75,64,10.87
131,Bendigo,AU,2022-04-14 21:36:09,-36.7667,144.2833,54.86,55,100,3.2
132,Cidreira,BR,2022-04-14 21:36:09,-30.1811,-50.2056,62.53,61,15,12.08
133,Bredasdorp,ZA,2022-04-14 21:34:14,-34.5322,20.0403,56.71,72,55,6.93
134,Chapais,CA,2022-04-14 21:32:44,49.7834,-74.8492,37.18,93,100,14.61
135,Birobidzhan,RU,2022-04-14 21:37:10,48.8,132.95,32.85,63,21,4.83
136,Labuhan,ID,2022-04-14 21:37:10,-6.8844,112.2051,76.78,84,82,4.92
137,Sao Felix Do Xingu,BR,2022-04-14 21:33:55,-6.6447,-51.995,76.01,91,86,2.59
138,Kruisfontein,ZA,2022-04-14 21:37:11,-34.0033,24.7314,61.88,87,100,12.97
139,Kisesa,TZ,2022-04-14 21:37:11,-3.0833,34.15,64.15,82,99,5.28
140,Lagoa,PT,2022-04-14 21:37:11,39.05,-27.9833,60.71,73,3,19.86
141,Arecibo,PR,2022-04-14 21:37:12,18.4724,-66.7157,84.02,75,100,3.0
142,Pangody,RU,2022-04-14 21:37:12,65.85,74.4859,33.91,99,100,12.03
143,Port Hedland,AU,2022-04-14 21:37:13,-20.3167,118.5667,86.05,26,32,11.5
144,Mattru,SL,2022-04-14 21:37:13,7.6244,-11.8332,77.83,83,99,3.15
145,Garowe,SO,2022-04-14 21:37:13,8.4054,48.4845,76.35,76,3,11.5
146,Geraldton,AU,2022-04-14 21:37:14,-28.7667,114.6,64.81,77,0,11.5
147,Tiksi,RU,2022-04-14 21:37:14,71.6872,128.8694,-1.32,99,100,8.55
148,Cap Malheureux,MU,2022-04-14 21:37:15,-19.9842,57.6142,78.48,73,14,11.01
149,Paita,PE,2022-04-14 21:37:15,-5.0892,-81.1144,73.08,72,38,19.6
150,Olinda,BR,2022-04-14 21:37:15,-8.0089,-34.8553,83.93,70,20,6.91
151,Albacete,ES,2022-04-14 21:37:16,38.8333,-2.0,56.19,87,0,2.3
152,Takoradi,GH,2022-04-14 21:37:16,4.8845,-1.7554,81.21,83,91,11.52
153,Khatanga,RU,2022-04-14 21:37:17,71.9667,102.5,-22.45,100,40,2.86
154,Kalianget,ID,2022-04-14 21:37:17,-7.05,113.9333,80.22,78,94,5.06
155,Albina,SR,2022-04-14 21:37:17,5.5,-54.05,75.65,89,75,6.26
156,Lang Son,VN,2022-04-14 21:37:18,21.8333,106.7333,69.17,86,31,2.55
157,La Llave,MX,2022-04-14 21:37:18,20.4667,-99.9972,86.11,19,91,7.85
158,Haimen,CN,2022-04-14 21:37:19,23.1935,116.6142,69.69,77,100,23.06
159,Marrakesh,MA,2022-04-14 21:37:19,31.6315,-8.0083,68.07,52,0,17.27
160,Saskylakh,RU,2022-04-14 21:37:19,71.9167,114.0833,-11.7,99,100,5.17
161,Tilichiki,RU,2022-04-14 21:37:20,60.4667,166.1,20.48,90,99,5.39
162,Bartica,GY,2022-04-14 21:37:20,6.4,-58.6167,84.52,96,89,5.03
163,Itarema,BR,2022-04-14 21:37:21,-2.9248,-39.9167,78.46,85,80,7.34
164,Tarko-Sale,RU,2022-04-14 21:37:21,64.9225,77.785,35.44,99,100,13.31
165,Clyde River,CA,2022-04-14 21:37:21,70.4692,-68.5914,7.03,72,75,0.0
166,Bethel,US,2022-04-14 21:37:22,41.3712,-73.414,74.91,65,94,16.69
167,Narsaq,GL,2022-04-14 21:37:22,60.9167,-46.05,41.22,93,56,3.8
168,Cayenne,GF,2022-04-14 21:36:01,4.9333,-52.3333,82.09,1,100,14.97
169,Hameenlinna,FI,2022-04-14 21:37:23,60.996,24.4643,34.86,99,100,5.41
170,Torres,BR,2022-04-14 21:37:23,-29.3353,-49.7269,58.82,62,2,14.0
171,Vila Velha,BR,2022-04-14 21:37:23,-20.3297,-40.2925,82.35,88,75,5.75
172,Airai,TL,2022-04-14 21:37:24,-8.9266,125.4092,61.63,85,94,2.17
173,Touros,BR,2022-04-14 21:37:24,-5.1989,-35.4608,80.15,76,100,9.62
174,Yerofey Pavlovich,RU,2022-04-14 21:37:24,53.9667,121.9667,25.86,76,100,3.44
175,Leshukonskoye,RU,2022-04-14 21:37:25,64.8989,45.7622,12.99,97,17,2.68
176,Lumphat,KH,2022-04-14 21:37:25,13.4878,106.9816,75.18,94,84,3.47
177,Huanren,CN,2022-04-14 21:37:26,41.2647,125.3667,42.35,67,47,3.8
178,Asau,RO,2022-04-14 21:37:26,46.4333,26.4,44.96,71,3,3.51
179,Andra,RU,2022-04-14 21:37:26,62.5147,65.8878,35.15,99,100,6.67
180,Coos Bay,US,2022-04-14 21:35:16,43.3665,-124.2179,50.99,86,100,17.27
181,Srednekolymsk,RU,2022-04-14 21:37:27,67.45,153.6833,11.5,92,100,7.18
182,Torbay,CA,2022-04-14 21:38:27,47.6666,-52.7314,38.28,76,20,20.71
183,Karla,EE,2022-04-14 21:38:27,59.3723,24.9275,39.15,93,100,8.05
184,Ribeira Grande,PT,2022-04-14 21:38:28,38.5167,-28.7,63.0,82,40,19.57
185,Deputatskiy,RU,2022-04-14 21:38:28,69.3,139.9,-4.27,100,95,0.67
186,Gravdal,NO,2022-04-14 21:38:28,68.1214,13.5031,37.74,65,61,2.37
187,Pahalgam,IN,2022-04-14 21:38:29,34.0333,75.3333,37.44,62,6,9.69
188,Saint-Pierre,RE,2022-04-14 21:38:29,-21.3393,55.4781,78.48,79,75,16.11
189,Guerrero Negro,MX,2022-04-14 21:38:30,27.9769,-114.0611,69.51,49,60,17.02
190,Mangrol,IN,2022-04-14 21:38:30,21.1167,70.1167,79.75,74,0,11.03
191,Finschhafen,PG,2022-04-14 21:38:30,-6.6024,147.8681,82.89,73,42,4.21
