City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Clarksburg,US,2022-04-17 21:49:50,39.2807,-80.3445,52.47,36,0,8.05,clear sky
155,Lavrentiya,RU,2022-04-17 21:49:50,65.5833,-171.0,30.52,95,100,14.18,light snow
156,College,US,2022-04-17 21:49:50,64.8569,-147.8028,38.23,26,20,10.36,few clouds
157,Saint-Philippe,RE,2022-04-17 21:49:51,-21.3585,55.7679,76.59,89,72,12.64,light rain
158,Mahebourg,MU,2022-04-17 21:49:51,-20.4081,57.7,77.29,94,75,0.0,broken clouds
159,Veraval,IN,2022-04-17 21:49:51,20.9,70.3667,79.36,72,0,11.45,clear sky
160,Roald,NO,2022-04-17 21:49:52,62.5833,6.1333,50.32,81,0,6.91,clear sky
161,Carutapera,BR,2022-04-17 21:49:52,-1.195,-46.02,77.02,88,98,6.04,moderate rain
162,Paita,PE,2022-04-17 21:49:53,-5.0892,-81.1144,70.88,74,6,18.39,clear sky
163,Savannah Bight,HN,2022-04-17 21:49:53,16.45,-85.85,81.16,71,1,16.87,clear sky
164,Kahului,US,2022-04-17 21:49:53,20.8947,-156.47,82.42,66,40,26.46,scattered clouds
165,Udachnyy,RU,2022-04-17 21:49:54,66.4167,112.4,34.45,100,100,13.96,snow
166,Port Said,EG,2022-04-17 21:49:54,31.2565,32.2841,76.98,61,0,13.8,clear sky
167,Tura,IN,2022-04-17 21:49:54,25.5198,90.2201,67.21,83,0,5.28,clear sky
168,Hofn,IS,2022-04-17 21:49:55,64.2539,-15.2082,45.1,86,10,3.74,clear sky
169,Chistogorskiy,RU,2022-04-17 21:49:55,53.9835,87.3843,52.29,68,96,2.28,overcast clouds
170,Ntcheu,MW,2022-04-17 21:49:55,-14.8203,34.6359,62.46,96,17,3.71,few clouds
171,Leningradskiy,RU,2022-04-17 21:49:56,69.3833,178.4167,12.9,88,75,3.44,broken clouds
172,Ambilobe,MG,2022-04-17 21:49:56,-13.2,49.05,72.52,89,53,2.95,broken clouds
173,El Alto,PE,2022-04-17 21:49:56,-4.2714,-81.2147,76.66,74,26,18.59,scattered clouds
174,Barmer,IN,2022-04-17 21:49:57,25.75,71.3833,79.25,54,8,13.6,clear sky
175,Saint-Augustin,CA,2022-04-17 21:49:57,51.226,-58.6502,36.81,100,100,19.1,overcast clouds
176,Naze,JP,2022-04-17 21:49:57,28.3667,129.4833,56.32,60,60,4.99,broken clouds
177,Hamilton,US,2022-04-17 21:48:08,39.1834,-84.5333,53.76,43,0,12.66,clear sky
178,Sabang,ID,2022-04-17 21:49:58,5.8933,95.3214,82.56,72,85,4.83,overcast clouds
179,Bengkulu,ID,2022-04-17 21:49:58,-3.8004,102.2655,75.79,91,95,4.38,light rain
180,Nchelenge,ZM,2022-04-17 21:49:59,-9.3451,28.734,68.7,87,15,5.35,light rain
181,Riohacha,CO,2022-04-17 21:49:59,11.5444,-72.9072,86.11,74,75,11.5,broken clouds
182,Halifax,CA,2022-04-17 21:47:56,44.6453,-63.5724,48.69,55,77,9.22,broken clouds
183,Buala,SB,2022-04-17 21:50:00,-8.145,159.5921,82.62,76,97,8.03,light rain
184,Gat,IL,2022-04-17 21:51:00,31.61,34.7642,90.28,15,10,17.29,clear sky
185,Burnie,AU,2022-04-17 21:51:00,-41.0667,145.9167,58.06,89,100,5.82,light rain
186,Kavaratti,IN,2022-04-17 21:51:01,10.5669,72.642,82.65,75,65,5.35,broken clouds
187,Jumla,NP,2022-04-17 21:51:01,29.2747,82.1838,48.76,58,28,4.68,scattered clouds
188,Takefu,JP,2022-04-17 21:51:02,35.9039,136.1669,56.07,81,100,3.38,overcast clouds
189,Phalombe,MW,2022-04-17 21:51:02,-15.8064,35.6507,66.15,97,33,4.52,scattered clouds
190,Turbo,CO,2022-04-17 21:51:03,8.0937,-76.7269,89.73,78,100,6.31,overcast clouds
191,Nemuro,JP,2022-04-17 21:46:40,43.3236,145.575,40.44,81,48,7.65,scattered clouds
192,Bichura,RU,2022-04-17 21:51:03,50.5881,107.6022,42.42,45,82,4.41,broken clouds
193,Itarema,BR,2022-04-17 21:51:03,-2.9248,-39.9167,78.58,84,85,7.14,overcast clouds
194,Camargo,MX,2022-04-17 21:51:04,27.6667,-105.1667,90.9,5,46,10.92,scattered clouds
195,Baturaja,ID,2022-04-17 21:51:04,-4.1333,104.1667,73.58,99,100,2.15,overcast clouds
196,Lata,PT,2022-04-17 21:51:04,40.1629,-8.3327,57.92,97,65,1.52,broken clouds
197,Labuhan,ID,2022-04-17 21:51:05,-6.8844,112.2051,79.39,87,58,3.38,broken clouds
